,season,mnth,holiday,workingday,weathersit,temp,cnt
54,1,2,0,1,2,0.295652,1807
55,1,2,0,1,2,0.364348,1461
56,1,2,0,0,1,0.2825,1969
57,1,2,0,0,1,0.343478,2402
58,1,2,0,1,2,0.407273,1446
59,1,3,0,1,1,0.266667,1851
60,1,3,0,1,1,0.335,2134
61,1,3,0,1,1,0.198333,1685
62,1,3,0,1,2,0.261667,1944
63,1,3,0,0,2,0.384167,2077
64,1,3,0,0,2,0.376522,605
65,1,3,0,1,1,0.261739,1872
66,1,3,0,1,1,0.2925,2133
67,1,3,0,1,2,0.295833,1891
68,1,3,0,1,3,0.389091,623
69,1,3,0,1,2,0.316522,1977
70,1,3,0,0,1,0.329167,2132
71,1,3,0,0,1,0.384348,2417
72,1,3,0,1,1,0.325217,2046
73,1,3,0,1,2,0.317391,2056
74,1,3,0,1,2,0.365217,2192
75,1,3,0,1,1,0.415,2744
76,1,3,0,1,1,0.54,3239
77,1,3,0,0,1,0.4725,3117
78,1,3,0,0,1,0.3325,2471
79,2,3,0,1,2,0.430435,2077
80,2,3,0,1,1,0.441667,2703
81,2,3,0,1,2,0.346957,2121
82,2,3,0,1,2,0.285,1865
83,2,3,0,1,1,0.264167,2210
84,2,3,0,0,1,0.265833,2496
85,2,3,0,0,2,0.253043,1693
86,2,3,0,1,1,0.264348,2028
87,2,3,0,1,1,0.3025,2425
88,2,3,0,1,2,0.3,1536
89,2,3,0,1,3,0.268333,1685
90,2,4,0,1,2,0.3,2227
91,2,4,0,0,2,0.315,2252
92,2,4,0,0,1,0.378333,3249
93,2,4,0,1,1,0.573333,3115
94,2,4,0,1,2,0.414167,1795
95,2,4,0,1,1,0.390833,2808
96,2,4,0,1,1,0.4375,3141
97,2,4,0,1,2,0.335833,1471
98,2,4,0,0,2,0.3425,2455
99,2,4,0,0,2,0.426667,2895
100,2,4,0,1,2,0.595652,3348
101,2,4,0,1,2,0.5025,2034
102,2,4,0,1,2,0.4125,2162
103,2,4,0,1,1,0.4675,3267
104,2,4,1,0,1,0.446667,3126
105,2,4,0,0,3,0.430833,795
106,2,4,0,0,1,0.456667,3744
107,2,4,0,1,1,0.5125,3429
108,2,4,0,1,2,0.505833,3204
109,2,4,0,1,1,0.595,3944
110,2,4,0,1,1,0.459167,4189
111,2,4,0,1,2,0.336667,1683
112,2,4,0,0,2,0.46,4036
113,2,4,0,0,2,0.581667,4191
114,2,4,0,1,1,0.606667,4073
115,2,4,0,1,1,0.631667,4400
116,2,4,0,1,2,0.62,3872
117,2,4,0,1,2,0.6175,4058
118,2,4,0,1,1,0.51,4595
119,2,4,0,0,1,0.4725,5312
120,2,5,0,0,2,0.451667,3351
121,2,5,0,1,2,0.549167,4401
122,2,5,0,1,2,0.616667,4451
123,2,5,0,1,2,0.414167,2633
124,2,5,0,1,1,0.459167,4433
125,2,5,0,1,1,0.479167,4608
126,2,5,0,0,1,0.52,4714
127,2,5,0,0,1,0.528333,4333
128,2,5,0,1,1,0.5325,4362
129,2,5,0,1,1,0.5325,4803
130,2,5,0,1,1,0.5425,4182
131,2,5,0,1,1,0.535,4864
132,2,5,0,1,2,0.5125,4105
133,2,5,0,0,2,0.520833,3409
134,2,5,0,0,2,0.5625,4553
135,2,5,0,1,1,0.5775,3958
136,2,5,0,1,2,0.561667,4123
137,2,5,0,1,2,0.55,3855
138,2,5,0,1,2,0.530833,4575
139,2,5,0,1,1,0.536667,4917
140,2,5,0,0,1,0.6025,5805
141,2,5,0,0,1,0.604167,4660
142,2,5,0,1,2,0.631667,4274
143,2,5,0,1,2,0.66,4492
144,2,5,0,1,1,0.660833,4978
145,2,5,0,1,1,0.708333,4677
146,2,5,0,1,1,0.681667,4679
147,2,5,0,0,1,0.655833,4758
148,2,5,0,0,1,0.6675,4788
149,2,5,1,0,1,0.733333,4098
150,2,5,0,1,1,0.775,3982
151,2,6,0,1,2,0.764167,3974
152,2,6,0,1,1,0.715,4968
153,2,6,0,1,1,0.62,5312
154,2,6,0,0,1,0.635,5342
155,2,6,0,0,2,0.648333,4906
156,2,6,0,1,1,0.678333,4548
157,2,6,0,1,1,0.7075,4833
158,2,6,0,1,1,0.775833,4401
159,2,6,0,1,2,0.808333,3915
160,2,6,0,1,1,0.755,4586
161,2,6,0,0,1,0.725,4966
162,2,6,0,0,1,0.6925,4460
163,2,6,0,1,1,0.635,5020
164,2,6,0,1,1,0.604167,4891
165,2,6,0,1,1,0.626667,5180
166,2,6,0,1,2,0.628333,3767
167,2,6,0,1,1,0.649167,4844
168,2,6,0,0,1,0.696667,5119
169,2,6,0,0,2,0.699167,4744
170,2,6,0,1,2,0.635,4010
171,3,6,0,1,2,0.680833,4835
172,3,6,0,1,1,0.733333,4507
173,3,6,0,1,2,0.728333,4790
174,3,6,0,1,1,0.724167,4991
175,3,6,0,0,1,0.695,5202
176,3,6,0,0,1,0.68,5305
177,3,6,0,1,2,0.6825,4708
178,3,6,0,1,1,0.744167,4648
179,3,6,0,1,1,0.728333,5225
180,3,6,0,1,1,0.696667,5515
181,3,7,0,1,1,0.7225,5362
182,3,7,0,0,1,0.738333,5119
183,3,7,0,0,2,0.716667,4649
184,3,7,1,0,2,0.726667,6043
185,3,7,0,1,1,0.746667,4665
186,3,7,0,1,1,0.72,4629
187,3,7,0,1,1,0.75,4592
188,3,7,0,1,2,0.709167,4040
189,3,7,0,0,1,0.733333,5336
190,3,7,0,0,1,0.7475,4881
191,3,7,0,1,1,0.7625,4086
192,3,7,0,1,1,0.794167,4258
193,3,7,0,1,1,0.746667,4342
194,3,7,0,1,1,0.680833,5084
195,3,7,0,1,1,0.663333,5538
196,3,7,0,0,1,0.686667,5923
197,3,7,0,0,1,0.719167,5302
198,3,7,0,1,1,0.746667,4458
199,3,7,0,1,1,0.776667,4541
200,3,7,0,1,1,0.768333,4332
201,3,7,0,1,2,0.815,3784
202,3,7,0,1,1,0.848333,3387
203,3,7,0,0,1,0.849167,3285
204,3,7,0,0,1,0.83,3606
205,3,7,0,1,1,0.743333,3840
206,3,7,0,1,1,0.771667,4590
207,3,7,0,1,1,0.775,4656
208,3,7,0,1,1,0.779167,4390
209,3,7,0,1,1,0.838333,3846
210,3,7,0,0,1,0.804167,4475
211,3,7,0,0,1,0.805833,4302
212,3,8,0,1,1,0.771667,4266
213,3,8,0,1,1,0.783333,4845
214,3,8,0,1,2,0.731667,3574
215,3,8,0,1,2,0.71,4576
216,3,8,0,1,1,0.710833,4866
217,3,8,0,0,2,0.716667,4294
218,3,8,0,0,1,0.7425,3785
219,3,8,0,1,1,0.765,4326
220,3,8,0,1,1,0.775,4602
221,3,8,0,1,1,0.766667,4780
222,3,8,0,1,1,0.7175,4792
223,3,8,0,1,1,0.708333,4905
224,3,8,0,0,2,0.685833,4150
225,3,8,0,0,2,0.676667,3820
226,3,8,0,1,1,0.665833,4338
227,3,8,0,1,1,0.700833,4725
228,3,8,0,1,1,0.723333,4694
229,3,8,0,1,1,0.711667,3805
230,3,8,0,1,2,0.685,4153
231,3,8,0,0,1,0.6975,5191
232,3,8,0,0,1,0.710833,3873
233,3,8,0,1,1,0.691667,4758
234,3,8,0,1,1,0.640833,5895
235,3,8,0,1,1,0.673333,5130
236,3,8,0,1,2,0.684167,3542
237,3,8,0,1,1,0.7,4661
238,3,8,0,0,2,0.68,1115
239,3,8,0,0,1,0.707059,4334
240,3,8,0,1,1,0.636667,4634
241,3,8,0,1,1,0.639167,5204
242,3,8,0,1,1,0.656667,5058
243,3,9,0,1,1,0.655,5115
244,3,9,0,1,2,0.643333,4727
245,3,9,0,0,1,0.669167,4484
246,3,9,0,0,1,0.709167,4940
247,3,9,1,0,2,0.673333,3351
248,3,9,0,1,3,0.54,2710
249,3,9,0,1,3,0.599167,1996
250,3,9,0,1,3,0.633913,1842
251,3,9,0,1,2,0.65,3544
252,3,9,0,0,1,0.66,5345
253,3,9,0,0,1,0.653333,5046
254,3,9,0,1,1,0.644348,4713
255,3,9,0,1,1,0.650833,4763
256,3,9,0,1,1,0.673333,4785
257,3,9,0,1,2,0.5775,3659
258,3,9,0,1,2,0.469167,4760
259,3,9,0,0,2,0.491667,4511
260,3,9,0,0,1,0.5075,4274
261,3,9,0,1,2,0.549167,4539
262,3,9,0,1,2,0.561667,3641
263,3,9,0,1,2,0.595,4352
264,3,9,0,1,2,0.628333,4795
265,4,9,0,1,2,0.609167,2395
266,4,9,0,0,2,0.606667,5423
267,4,9,0,0,2,0.634167,5010
268,4,9,0,1,2,0.649167,4630
269,4,9,0,1,2,0.636667,4120
270,4,9,0,1,2,0.635,3907
271,4,9,0,1,1,0.616667,4839
272,4,9,0,1,1,0.564167,5202
273,4,10,0,0,2,0.41,2429
274,4,10,0,0,2,0.356667,2918
275,4,10,0,1,2,0.384167,3570
276,4,10,0,1,1,0.484167,4456
277,4,10,0,1,1,0.538333,4826
278,4,10,0,1,1,0.494167,4765
279,4,10,0,1,1,0.510833,4985
280,4,10,0,0,1,0.521667,5409
281,4,10,0,0,1,0.540833,5511
282,4,10,1,0,1,0.570833,5117
283,4,10,0,1,2,0.566667,4563
284,4,10,0,1,3,0.543333,2416
285,4,10,0,1,2,0.589167,2913
286,4,10,0,1,2,0.550833,3644
287,4,10,0,0,1,0.506667,5217
288,4,10,0,0,1,0.511667,5041
289,4,10,0,1,1,0.534167,4570
290,4,10,0,1,2,0.5325,4748
291,4,10,0,1,3,0.541739,2424
292,4,10,0,1,1,0.475833,4195
293,4,10,0,1,1,0.4275,4304
294,4,10,0,0,1,0.4225,4308
295,4,10,0,0,1,0.421667,4381
296,4,10,0,1,1,0.463333,4187
297,4,10,0,1,1,0.471667,4687
298,4,10,0,1,2,0.484167,3894
299,4,10,0,1,2,0.47,2659
300,4,10,0,1,2,0.330833,3747
301,4,10,0,0,3,0.254167,627
302,4,10,0,0,1,0.319167,3331
303,4,10,0,1,1,0.34,3669
304,4,11,0,1,1,0.400833,4068
305,4,11,0,1,1,0.3775,4186
306,4,11,0,1,1,0.408333,3974
307,4,11,0,1,2,0.403333,4046
308,4,11,0,0,1,0.326667,3926
309,4,11,0,0,1,0.348333,3649
310,4,11,0,1,1,0.395,4035
311,4,11,0,1,1,0.408333,4205
312,4,11,0,1,1,0.4,4109
313,4,11,0,1,2,0.38,2933
314,4,11,1,0,1,0.324167,3368
315,4,11,0,0,1,0.356667,4067
316,4,11,0,0,1,0.440833,3717
317,4,11,0,1,1,0.53,4486
318,4,11,0,1,2,0.53,4195
319,4,11,0,1,3,0.456667,1817
320,4,11,0,1,2,0.341667,3053
321,4,11,0,1,1,0.274167,3392
322,4,11,0,0,1,0.329167,3663
323,4,11,0,0,2,0.463333,3520
324,4,11,0,1,3,0.4475,2765
325,4,11,0,1,3,0.416667,1607
326,4,11,0,1,2,0.440833,2566
327,4,11,1,0,1,0.373333,1495
328,4,11,0,1,1,0.375,2792
329,4,11,0,0,1,0.375833,3068
330,4,11,0,0,1,0.459167,3071
331,4,11,0,1,1,0.503478,3867
332,4,11,0,1,2,0.458333,2914
333,4,11,0,1,1,0.325,3613
334,4,12,0,1,1,0.3125,3727
335,4,12,0,1,1,0.314167,3940
336,4,12,0,0,1,0.299167,3614
337,4,12,0,0,1,0.330833,3485
338,4,12,0,1,2,0.385833,3811
339,4,12,0,1,3,0.4625,2594
340,4,12,0,1,3,0.41,705
341,4,12,0,1,1,0.265833,3322
342,4,12,0,1,1,0.290833,3620
343,4,12,0,0,1,0.275,3190
344,4,12,0,0,1,0.220833,2743
345,4,12,0,1,1,0.238333,3310
346,4,12,0,1,1,0.2825,3523
347,4,12,0,1,2,0.3175,3740
348,4,12,0,1,2,0.4225,3709
349,4,12,0,1,2,0.375,3577
350,4,12,0,0,2,0.258333,2739
351,4,12,0,0,1,0.238333,2431
352,4,12,0,1,1,0.276667,3403
353,4,12,0,1,2,0.385833,3750
354,1,12,0,1,2,0.428333,2660
355,1,12,0,1,2,0.423333,3068
356,1,12,0,1,1,0.373333,2209
357,1,12,0,0,1,0.3025,1011
358,1,12,0,0,1,0.274783,754
359,1,12,1,0,1,0.321739,1317
360,1,12,0,1,2,0.325,1162
361,1,12,0,1,1,0.29913,2302
362,1,12,0,1,1,0.248333,2423
363,1,12,0,1,1,0.311667,2999
364,1,12,0,0,1,0.41,2485
365,1,1,0,0,1,0.37,2294
366,1,1,1,0,1,0.273043,1951
367,1,1,0,1,1,0.15,2236
368,1,1,0,1,2,0.1075,2368
369,1,1,0,1,1,0.265833,3272
370,1,1,0,1,1,0.334167,4098
371,1,1,0,0,1,0.393333,4521
372,1,1,0,0,1,0.3375,3425
373,1,1,0,1,2,0.224167,2376
374,1,1,0,1,1,0.308696,3598
375,1,1,0,1,2,0.274167,2177
376,1,1,0,1,2,0.3825,4097
377,1,1,0,1,1,0.274167,3214
378,1,1,0,0,1,0.18,2493
379,1,1,0,0,1,0.166667,2311
380,1,1,1,0,1,0.19,2298
381,1,1,0,1,2,0.373043,2935
382,1,1,0,1,1,0.303333,3376
383,1,1,0,1,1,0.19,3292
384,1,1,0,1,2,0.2175,3163
385,1,1,0,0,2,0.173333,1301
386,1,1,0,0,2,0.1625,1977
387,1,1,0,1,2,0.218333,2432
388,1,1,0,1,1,0.3425,4339
389,1,1,0,1,1,0.294167,4270
390,1,1,0,1,2,0.341667,4075
391,1,1,0,1,2,0.425,3456
392,1,1,0,0,1,0.315833,4023
393,1,1,0,0,1,0.2825,3243
394,1,1,0,1,1,0.269167,3624
395,1,1,0,1,1,0.39,4509
396,1,2,0,1,1,0.469167,4579
397,1,2,0,1,2,0.399167,3761
398,1,2,0,1,1,0.313333,4151
399,1,2,0,0,2,0.264167,2832
400,1,2,0,0,2,0.265833,2947
401,1,2,0,1,1,0.282609,3784
402,1,2,0,1,1,0.354167,4375
403,1,2,0,1,2,0.256667,2802
404,1,2,0,1,1,0.265,3830
405,1,2,0,1,2,0.280833,3831
406,1,2,0,0,3,0.224167,2169
407,1,2,0,0,1,0.1275,1529
408,1,2,0,1,1,0.2225,3422
409,1,2,0,1,2,0.319167,3922
410,1,2,0,1,1,0.348333,4169
411,1,2,0,1,2,0.316667,3005
412,1,2,0,1,1,0.343333,4154
413,1,2,0,0,1,0.346667,4318
414,1,2,0,0,2,0.28,2689
415,1,2,1,0,1,0.28,3129
416,1,2,0,1,1,0.287826,3777
417,1,2,0,1,1,0.395833,4773
418,1,2,0,1,1,0.454167,5062
419,1,2,0,1,2,0.4075,3487
420,1,2,0,0,1,0.290833,2732
421,1,2,0,0,1,0.279167,3389
422,1,2,0,1,1,0.366667,4322
423,1,2,0,1,1,0.359167,4363
424,1,2,0,1,2,0.344348,1834
425,1,3,0,1,1,0.485833,4990
426,1,3,0,1,2,0.353333,3194
427,1,3,0,0,2,0.414167,4066
428,1,3,0,0,1,0.325833,3423
429,1,3,0,1,1,0.243333,3333
430,1,3,0,1,1,0.258333,3956
431,1,3,0,1,1,0.404167,4916
432,1,3,0,1,1,0.5275,5382
433,1,3,0,1,2,0.410833,4569
434,1,3,0,0,1,0.2875,4118
435,1,3,0,0,1,0.361739,4911
436,1,3,0,1,1,0.466667,5298
437,1,3,0,1,1,0.565,5847
438,1,3,0,1,1,0.5725,6312
439,1,3,0,1,1,0.5575,6192
440,1,3,0,1,2,0.435833,4378
441,1,3,0,0,2,0.514167,7836
442,1,3,0,0,2,0.4725,5892
443,1,3,0,1,1,0.545,6153
444,1,3,0,1,1,0.560833,6093
445,2,3,0,1,2,0.531667,6230
446,2,3,0,1,1,0.554167,6871
447,2,3,0,1,2,0.601667,8362
448,2,3,0,0,2,0.5025,3372
449,2,3,0,0,2,0.4375,4996
450,2,3,0,1,1,0.445833,5558
451,2,3,0,1,1,0.323333,5102
452,2,3,0,1,1,0.484167,5698
453,2,3,0,1,1,0.494167,6133
454,2,3,0,1,2,0.37,5459
455,2,3,0,0,2,0.424167,6235
456,2,4,0,0,2,0.425833,6041
457,2,4,0,1,1,0.433913,5936
458,2,4,0,1,1,0.466667,6772
459,2,4,0,1,1,0.541667,6436
460,2,4,0,1,1,0.435,6457
461,2,4,0,1,1,0.403333,6460
462,2,4,0,0,1,0.4375,6857
463,2,4,0,0,1,0.5,5169
464,2,4,0,1,1,0.489167,5585
465,2,4,0,1,1,0.446667,5918
466,2,4,0,1,1,0.348696,4862
467,2,4,0,1,1,0.3975,5409
468,2,4,0,1,1,0.4425,6398
469,2,4,0,0,1,0.495,7460
470,2,4,0,0,1,0.606667,7132
471,2,4,1,0,1,0.664167,6370
472,2,4,0,1,1,0.608333,6691
473,2,4,0,1,2,0.463333,4367
474,2,4,0,1,1,0.498333,6565
475,2,4,0,1,1,0.526667,7290
476,2,4,0,0,1,0.57,6624
477,2,4,0,0,3,0.396667,1027
478,2,4,0,1,2,0.321667,3214
479,2,4,0,1,1,0.413333,5633
480,2,4,0,1,1,0.476667,6196
481,2,4,0,1,2,0.498333,5026
482,2,4,0,1,1,0.4575,6233
483,2,4,0,0,2,0.376667,4220
484,2,4,0,0,1,0.458333,6304
485,2,4,0,1,2,0.464167,5572
486,2,5,0,1,2,0.613333,5740
487,2,5,0,1,1,0.564167,6169
488,2,5,0,1,2,0.56,6421
489,2,5,0,1,1,0.6275,6296
490,2,5,0,0,2,0.621667,6883
491,2,5,0,0,2,0.5625,6359
492,2,5,0,1,2,0.5375,6273
493,2,5,0,1,2,0.581667,5728
494,2,5,0,1,2,0.575,4717
495,2,5,0,1,1,0.505833,6572
496,2,5,0,1,1,0.533333,7030
497,2,5,0,0,1,0.564167,7429
498,2,5,0,0,1,0.6125,6118
499,2,5,0,1,2,0.573333,2843
500,2,5,0,1,2,0.611667,5115
501,2,5,0,1,1,0.636667,7424
502,2,5,0,1,1,0.593333,7384
503,2,5,0,1,1,0.564167,7639
504,2,5,0,0,1,0.6,8294
505,2,5,0,0,1,0.620833,7129
506,2,5,0,1,2,0.598333,4359
507,2,5,0,1,2,0.615,6073
508,2,5,0,1,2,0.621667,5260
509,2,5,0,1,1,0.655,6770
510,2,5,0,1,1,0.68,6734
511,2,5,0,0,1,0.6925,6536
512,2,5,0,0,1,0.69,6591
513,2,5,1,0,1,0.7125,6043
514,2,5,0,1,1,0.7225,5743
515,2,5,0,1,2,0.656667,6855
516,2,5,0,1,1,0.68,7338
517,2,6,0,1,2,0.654167,4127
518,2,6,0,0,1,0.583333,8120
519,2,6,0,0,1,0.6025,7641
520,2,6,0,1,1,0.5975,6998
521,2,6,0,1,2,0.540833,7001
522,2,6,0,1,1,0.554167,7055
523,2,6,0,1,1,0.6025,7494
524,2,6,0,1,1,0.649167,7736
525,2,6,0,0,1,0.710833,7498
526,2,6,0,0,1,0.726667,6598
527,2,6,0,1,2,0.720833,6664
528,2,6,0,1,2,0.653333,4972
529,2,6,0,1,1,0.655833,7421
530,2,6,0,1,1,0.648333,7363
531,2,6,0,1,1,0.639167,7665
532,2,6,0,0,1,0.631667,7702
533,2,6,0,0,1,0.5925,6978
534,2,6,0,1,2,0.568333,5099
535,2,6,0,1,1,0.688333,6825
536,2,6,0,1,1,0.7825,6211
537,3,6,0,1,1,0.805833,5905
538,3,6,0,1,1,0.7775,5823
539,3,6,0,0,1,0.731667,7458
540,3,6,0,0,1,0.743333,6891
541,3,6,0,1,1,0.715833,6779
542,3,6,0,1,1,0.630833,7442
543,3,6,0,1,1,0.6975,7335
544,3,6,0,1,1,0.749167,6879
545,3,6,0,1,1,0.834167,5463
546,3,6,0,0,1,0.765,5687
547,3,7,0,0,1,0.815833,5531
548,3,7,0,1,1,0.781667,6227
549,3,7,0,1,1,0.780833,6660
550,3,7,1,0,1,0.789167,7403
551,3,7,0,1,1,0.8275,6241
552,3,7,0,1,1,0.828333,6207
553,3,7,0,0,1,0.861667,4840
554,3,7,0,0,1,0.8225,4672
555,3,7,0,1,2,0.710833,6569
556,3,7,0,1,2,0.720833,6290
557,3,7,0,1,1,0.716667,7264
558,3,7,0,1,1,0.715833,7446
559,3,7,0,1,2,0.731667,7499
560,3,7,0,0,2,0.703333,6969
561,3,7,0,0,1,0.745833,6031
562,3,7,0,1,1,0.763333,6830
563,3,7,0,1,1,0.818333,6786
564,3,7,0,1,1,0.793333,5713
565,3,7,0,1,1,0.77,6591
566,3,7,0,1,2,0.665833,5870
567,3,7,0,0,3,0.595833,4459
568,3,7,0,0,2,0.6675,7410
569,3,7,0,1,1,0.741667,6966
570,3,7,0,1,1,0.750833,7592
571,3,7,0,1,1,0.724167,8173
572,3,7,0,1,1,0.776667,6861
573,3,7,0,1,1,0.781667,6904
574,3,7,0,0,1,0.755833,6685
575,3,7,0,0,1,0.721667,6597
576,3,7,0,1,1,0.730833,7105
577,3,7,0,1,1,0.713333,7216
578,3,8,0,1,1,0.7175,7580
579,3,8,0,1,1,0.7525,7261
580,3,8,0,1,2,0.765833,7175
581,3,8,0,0,1,0.793333,6824
582,3,8,0,0,1,0.769167,5464
583,3,8,0,1,2,0.7525,7013
584,3,8,0,1,2,0.735833,7273
585,3,8,0,1,2,0.75,7534
586,3,8,0,1,1,0.755833,7286
587,3,8,0,1,2,0.715833,5786
588,3,8,0,0,2,0.6925,6299
589,3,8,0,0,1,0.700833,6544
590,3,8,0,1,1,0.720833,6883
591,3,8,0,1,1,0.726667,6784
592,3,8,0,1,1,0.706667,7347
593,3,8,0,1,1,0.719167,7605
594,3,8,0,1,1,0.723333,7148
595,3,8,0,0,1,0.678333,7865
596,3,8,0,0,2,0.635833,4549
597,3,8,0,1,2,0.635833,6530
598,3,8,0,1,1,0.649167,7006
599,3,8,0,1,1,0.6675,7375
600,3,8,0,1,1,0.695833,7765
601,3,8,0,1,2,0.7025,7582
602,3,8,0,0,2,0.661667,6053
603,3,8,0,0,2,0.653333,5255
604,3,8,0,1,1,0.703333,6917
605,3,8,0,1,1,0.728333,7040
606,3,8,0,1,1,0.685,7697
607,3,8,0,1,1,0.706667,7713
608,3,8,0,1,1,0.764167,7350
609,3,9,0,0,2,0.753333,6140
610,3,9,0,0,2,0.696667,5810
611,3,9,1,0,1,0.7075,6034
612,3,9,0,1,1,0.725833,6864
613,3,9,0,1,1,0.736667,7112
614,3,9,0,1,2,0.696667,6203
615,3,9,0,1,1,0.703333,7504
616,3,9,0,0,2,0.659167,5976
617,3,9,0,0,1,0.61,8227
618,3,9,0,1,1,0.583333,7525
619,3,9,0,1,1,0.5775,7767
620,3,9,0,1,1,0.599167,7870
621,3,9,0,1,1,0.6125,7804
622,3,9,0,1,1,0.633333,8009
623,3,9,0,0,1,0.608333,8714
624,3,9,0,0,1,0.58,7333
625,3,9,0,1,2,0.580833,6869
626,3,9,0,1,2,0.623333,4073
627,3,9,0,1,1,0.5525,7591
628,3,9,0,1,1,0.546667,7720
629,3,9,0,1,1,0.599167,8167
630,3,9,0,0,1,0.65,8395
631,4,9,0,0,1,0.529167,7907
632,4,9,0,1,1,0.514167,7436
633,4,9,0,1,1,0.55,7538
634,4,9,0,1,1,0.635,7733
635,4,9,0,1,2,0.65,7393
636,4,9,0,1,2,0.619167,7415
637,4,9,0,0,1,0.5425,8555
638,4,9,0,0,1,0.526667,6889
639,4,10,0,1,2,0.520833,6778
640,4,10,0,1,3,0.590833,4639
641,4,10,0,1,2,0.6575,7572
642,4,10,0,1,2,0.6575,7328
643,4,10,0,1,1,0.615,8156
644,4,10,0,0,1,0.554167,7965
645,4,10,0,0,2,0.415833,3510
646,4,10,1,0,2,0.383333,5478
647,4,10,0,1,2,0.446667,6392
648,4,10,0,1,1,0.514167,7691
649,4,10,0,1,1,0.435,7570
650,4,10,0,1,1,0.4375,7282
651,4,10,0,0,1,0.393333,7109
652,4,10,0,0,1,0.521667,6639
653,4,10,0,1,2,0.561667,5875
654,4,10,0,1,1,0.468333,7534
655,4,10,0,1,1,0.455833,7461
656,4,10,0,1,2,0.5225,7509
657,4,10,0,1,2,0.563333,5424
658,4,10,0,0,1,0.484167,8090
659,4,10,0,0,1,0.464167,6824
660,4,10,0,1,1,0.4875,7058
661,4,10,0,1,1,0.544167,7466
662,4,10,0,1,1,0.5875,7693
663,4,10,0,1,2,0.55,7359
664,4,10,0,1,2,0.545833,7444
665,4,10,0,0,2,0.53,7852
666,4,10,0,0,2,0.4775,4459
667,4,10,0,1,3,0.44,22
668,4,10,0,1,2,0.318182,1096
669,4,10,0,1,2,0.3575,5566
670,4,11,0,1,2,0.365833,5986
671,4,11,0,1,1,0.355,5847
672,4,11,0,0,2,0.343333,5138
673,4,11,0,0,1,0.325833,5107
674,4,11,0,1,1,0.319167,5259
675,4,11,0,1,1,0.280833,5686
676,4,11,0,1,2,0.295833,5035
677,4,11,0,1,1,0.352174,5315
678,4,11,0,1,1,0.361667,5992
679,4,11,0,0,1,0.389167,6536
680,4,11,0,0,1,0.420833,6852
681,4,11,1,0,1,0.485,6269
682,4,11,0,1,2,0.343333,4094
683,4,11,0,1,1,0.289167,5495
684,4,11,0,1,2,0.321667,5445
685,4,11,0,1,1,0.345,5698
686,4,11,0,0,1,0.325,5629
687,4,11,0,0,1,0.3425,4669
688,4,11,0,1,2,0.380833,5499
689,4,11,0,1,2,0.374167,5634
690,4,11,0,1,1,0.353333,5146
691,4,11,1,0,1,0.34,2425
692,4,11,0,1,1,0.368333,3910
693,4,11,0,0,1,0.278333,2277
694,4,11,0,0,1,0.245833,2424
695,4,11,0,1,1,0.313333,5087
696,4,11,0,1,2,0.291667,3959
697,4,11,0,1,1,0.296667,5260
698,4,11,0,1,1,0.28087,5323
699,4,11,0,1,1,0.298333,5668
700,4,12,0,0,2,0.298333,5191
701,4,12,0,0,2,0.3475,4649
702,4,12,0,1,1,0.4525,6234
